"route_name","route_type","direction","stop_name","stop_number"
"22","Urban","DCCT1 -> AN1T21","Al Nahda 1, Masjid Rada 1","16"
"53","Urban","GSBS4 -> ICPM1","","1"
"53","Urban","GSBS4 -> ICPM1","","4"
"53","Urban","GSBS4 -> ICPM1","","7"
"53","Urban","GSBS4 -> ICPM1","","10"
"53","Urban","ICPM1 -> GSBS4","Clock Tower Roundabout 2","18"
"F08","Feeder","NTSPS1 -> DFCFC1","Damascus Road 1-1","14"
"F20","Feeder","BBMS1 -> BBMS1","Al Safa, Street 8B, Private School 1","7"
"F24","Feeder","QIA3T1 -> SMS2","Al Qusais Depot Entrance 2","2"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","0"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","3"
"F25","Feeder","FGBMLS1 -> FGBMLS1","7 Up Staff Accommodation 2","10"
"F28","Feeder","ETMS2 -> ETMS2","","2"
"F28","Feeder","ETMS2 -> ETMS2","","5"
"F28","Feeder","ETMS2 -> ETMS2","","8"
"F31","Feeder","TMDBST1 -> DICMSL1","The Greens, Al Sidir","12"
"F31","Feeder","TMDBST1 -> DICMSL1","The Springs, Entrance gate 4-1","4"
"F35","Feeder","MEMS1 -> MEMS1","","13"
"F35","Feeder","MEMS1 -> MEMS1","","16"
"F35","Feeder","MEMS1 -> MEMS1","","19"
"F35","Feeder","MEMS1 -> MEMS1","","22"
"F41","Feeder","BBMSL1 -> BBMSL1","","16"
"F41","Feeder","BBMSL1 -> BBMSL1","","19"
"F41","Feeder","BBMSL1 -> BBMSL1","Mayfair Residency 2","14"
"53","Urban","GSBS4 -> ICPM1","","0"
"53","Urban","GSBS4 -> ICPM1","","3"
"53","Urban","GSBS4 -> ICPM1","","6"
"53","Urban","GSBS4 -> ICPM1","Dubai Festival City, IKEA1","10"
"BM1","Marine","MWWS1 -> MPWS1","Marina Promenade Marine Transport Statio","2"
"F08","Feeder","DFCFC1 -> NTSPS1","","1"
"F08","Feeder","NTSPS1 -> DFCFC1","","10"
"F08","Feeder","NTSPS1 -> DFCFC1","","13"
"F08","Feeder","NTSPS1 -> DFCFC1","","16"
"F08","Feeder","NTSPS1 -> DFCFC1","","19"
"F18","Feeder","OMMST1 -> OMMST1","Nasr Sports Club 2","6"
"F24","Feeder","QIA3T1 -> SMS2","","0"
"F24","Feeder","QIA3T1 -> SMS2","","3"
"F24","Feeder","QIA3T1 -> SMS2","Al Nahda 1, Mai Tower","9"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","22"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","25"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","28"
"F25","Feeder","FGBMLS1 -> FGBMLS1","","31"
"F25","Feeder","FGBMLS1 -> FGBMLS1","Gold & Diamond Park 1","1"
"F28","Feeder","ETMS2 -> ETMS2","","1"
"F28","Feeder","ETMS2 -> ETMS2","","4"
"F28","Feeder","ETMS2 -> ETMS2","Rostamani Tower","1"
"F28","Feeder","ETMS2 -> ETMS2","Wasl, School 2","3"
"X28","Urban","LLV1 -> DICMS1","Al Qusais Industrial Area 2","5"
"13","Urban","GSBS9 -> QSDH11","","34"
"13","Urban","GSBS9 -> QSDH11","","37"
"13","Urban","GSBS9 -> QSDH11","","40"
"22","Urban","DCCT1 -> AN1T21","Al Nahda 1, Burj Al Noor 1","20"
"53","Urban","ICPM1 -> GSBS4","","2"
"BM1","Marine","MPWS1 -> MTWS1","Marina Mall Marine Transport Station 1","1"
"BM1","Marine","MTWS1 -> MPWS1","","1"
"F08","Feeder","DFCFC1 -> NTSPS1","Dubai Grand Hotel 1","13"
"F20","Feeder","BBMS1 -> BBMS1","","2"
"F21","Feeder","ANMS4 -> ANMS4","","1"
"F21","Feeder","ANMS4 -> ANMS4","Al Maaref Private School","4"
"F24","Feeder","SMS2 -> QIA3T1","","7"
"F24","Feeder","SMS2 -> QIA3T1","","10"
"F31","Feeder","TMDBST1 -> DICMSL1","Dubai International Academy 1","8"
"F35","Feeder","MEMS1 -> MEMS1","","0"
"F35","Feeder","MEMS1 -> MEMS1","","3"
"F35","Feeder","MEMS1 -> MEMS1","","6"
"F41","Feeder","BBMSL1 -> BBMSL1","Bay Square 2","6"
"F41","Feeder","BBMSL1 -> BBMSL1","Lake Central Tower 2","3"
"JLT1","Urban","DMSL1 -> DMSL1","","0"
"JLT1","Urban","DMSL1 -> DMSL1","","3"
"JLT1","Urban","DMSL1 -> DMSL1","","6"
"X28","Urban","LLV1 -> DICMS1","","1"
"X28","Urban","LLV1 -> DICMS1","","4"
"X28","Urban","LLV1 -> DICMS1","","7"
"X28","Urban","LLV1 -> DICMS1","","10"
"X28","Urban","LLV1 -> DICMS1","Umm Suqeim, Library 1","32"
"53","Urban","GSBS4 -> ICPM1","","25"
